Employment_Type,Education_Level,Income,Credit_Score,Existing_Debt,Marital_Status,Loan_Purpose,Loan_status
Employed,Masters,71058,613,144426,Married,Medical,Yes
Employed,Diploma,343336,833,54038,Married,School,Yes
Self-Employed,Diploma,188390,733,132660,Married,Medical,No
Unemployed,Secondary,182324,580,33558,Single,School,Yes
Self-Employed,Masters,118756,306,34034,Married,House,Yes
Employed,Secondary,107149,590,55072,Single,Medical,Yes
Self-Employed,Secondary,400308,680,52998,Married,Business,Yes
Employed,Diploma,77656,661,50997,Married,House,Yes
Employed,Diploma,202755,377,156073,Single,School,No
Business Owner,Diploma,405603,769,167337,Divorced,Car,No
Business Owner,Diploma,364553,532,101988,Married,Medical,Yes
Business Owner,Masters,438822,604,3760,Single,Medical,Yes
Business Owner,Masters,81790,774,100361,Single,Business,Yes
Self-Employed,Secondary,424102,332,55873,Single,Medical,No
Employed,Degree,383703,823,21922,Single,Car,Yes
Employed,Secondary,333435,586,31078,Single,Car,Yes
Unemployed,Diploma,342193,427,111820,Single,House,No
Employed,Masters,299201,834,845,Single,Medical,Yes
Business Owner,Diploma,116423,760,47341,Divorced,School,Yes
Business Owner,Masters,318199,541,27821,Married,School,Yes
Business Owner,Diploma,478668,581,149126,Married,Car,No
Employed,Masters,92062,608,102335,Married,Medical,Yes
Business Owner,Diploma,405184,692,111911,Divorced,Business,Yes
Self-Employed,Secondary,308426,423,19608,Divorced,Medical,No
Business Owner,Secondary,280913,792,117052,Single,Business,Yes
Self-Employed,Masters,216233,520,133301,Married,Business,No
Self-Employed,Secondary,82844,797,110755,Divorced,School,Yes
Business Owner,Masters,46349,642,129246,Divorced,House,No
Business Owner,Secondary,281359,489,94781,Divorced,Business,Yes
Business Owner,Masters,265873,533,161378,Single,House,No
Self-Employed,Secondary,68217,305,171083,Single,Business,No
Business Owner,Diploma,349309,834,101130,Divorced,Medical,Yes
Self-Employed,Secondary,96617,752,40961,Married,Car,Yes
Unemployed,Diploma,384853,456,25716,Married,Medical,Yes
Unemployed,Secondary,195452,437,56563,Divorced,School,No
Unemployed,Diploma,138079,353,23327,Single,Business,No
Self-Employed,Secondary,160700,378,172556,Single,Medical,No
Self-Employed,Diploma,163391,331,49812,Single,Business,No
Unemployed,Masters,472782,700,96129,Married,House,Yes
Business Owner,Secondary,52196,483,137804,Single,House,No
Business Owner,Diploma,124176,818,47676,Married,Medical,Yes
Business Owner,Degree,305312,612,137657,Single,House,Yes
Unemployed,Masters,390621,846,9392,Married,School,Yes
Employed,Diploma,466965,761,79626,Divorced,Medical,Yes
Self-Employed,Masters,64637,631,195900,Divorced,Medical,No
Self-Employed,Masters,207130,530,107838,Single,Business,Yes
Employed,Diploma,372447,330,41118,Divorced,Business,No
Business Owner,Degree,244662,724,47282,Single,Business,Yes
Business Owner,Diploma,406961,821,4982,Divorced,Car,Yes
Unemployed,Diploma,338070,422,161591,Married,Business,No
Business Owner,Diploma,125164,350,121460,Married,School,No
Unemployed,Masters,116582,485,113617,Divorced,House,Yes
Employed,Degree,102976,317,129950,Single,House,Yes
Employed,Degree,54635,816,154879,Single,Business,Yes
Unemployed,Secondary,134360,642,180914,Single,Medical,No
Employed,Diploma,435922,839,148756,Divorced,School,Yes
Self-Employed,Masters,378452,393,89984,Single,House,No
Self-Employed,Degree,481591,746,39495,Single,Business,Yes
Employed,Degree,473237,493,90854,Divorced,School,Yes
Business Owner,Degree,253329,829,161676,Divorced,Medical,Yes
Self-Employed,Secondary,465878,540,63889,Divorced,Business,Yes
Employed,Masters,473809,508,46385,Single,School,Yes
Employed,Diploma,497165,777,45977,Single,School,Yes
Employed,Masters,154680,331,171964,Single,Medical,No
Business Owner,Degree,373849,370,19759,Divorced,School,Yes
Self-Employed,Degree,179258,473,49296,Divorced,House,Yes
Unemployed,Diploma,218743,716,133108,Divorced,House,No
Employed,Diploma,370544,724,12369,Single,Medical,Yes
Self-Employed,Degree,291756,581,12239,Divorced,House,Yes
Unemployed,Secondary,302005,449,175059,Divorced,House,No
Business Owner,Secondary,365483,716,12355,Single,Business,Yes
Business Owner,Diploma,48312,845,135313,Divorced,School,No
Self-Employed,Secondary,78037,447,195091,Married,Car,No
Business Owner,Degree,229863,655,67598,Single,Car,Yes
Business Owner,Degree,215533,630,128401,Divorced,School,Yes
Self-Employed,Masters,245294,631,39934,Married,Business,Yes
Business Owner,Degree,298204,682,143785,Single,Medical,Yes
Business Owner,Diploma,334315,428,138834,Divorced,Business,No
Self-Employed,Masters,213995,774,124649,Single,School,No
Business Owner,Secondary,132171,829,135218,Divorced,Medical,No
Self-Employed,Degree,413874,554,90215,Married,Business,Yes
Self-Employed,Secondary,430832,607,192014,Married,House,No
Unemployed,Secondary,55533,564,173994,Divorced,House,No
Self-Employed,Diploma,370482,799,11553,Single,Business,Yes
Business Owner,Degree,208005,848,62287,Single,Medical,Yes
Unemployed,Masters,247061,428,179190,Divorced,House,No
Employed,Secondary,118880,567,67644,Single,House,Yes
Unemployed,Secondary,269971,535,106770,Married,House,Yes
Business Owner,Degree,77444,466,96297,Single,House,Yes
Employed,Secondary,388965,541,179612,Single,Car,Yes
Business Owner,Degree,357651,409,94102,Divorced,House,Yes
Unemployed,Secondary,90495,439,185602,Divorced,Car,No
Self-Employed,Diploma,399486,762,187240,Single,Car,No
Business Owner,Degree,284089,761,100247,Married,Business,Yes
Employed,Masters,295977,653,13927,Single,Business,Yes
Business Owner,Masters,415333,744,112334,Married,School,Yes
Unemployed,Secondary,93438,841,172337,Married,School,No
Self-Employed,Masters,299775,616,41095,Married,House,Yes
Employed,Masters,86853,501,11255,Single,Medical,Yes
Unemployed,Masters,408227,758,119190,Single,Car,Yes
Business Owner,Degree,486584,625,158655,Single,Business,Yes
Employed,Degree,217323,639,46794,Single,Medical,Yes
Employed,Secondary,67634,479,71414,Married,Business,Yes
Employed,Diploma,75570,393,140994,Divorced,House,No
Self-Employed,Degree,273893,300,114746,Divorced,Car,Yes
Business Owner,Masters,88843,553,102317,Divorced,School,Yes
Business Owner,Masters,248167,574,94898,Single,Medical,Yes
Employed,Masters,120643,644,190172,Divorced,House,Yes
Self-Employed,Masters,208369,554,52363,Divorced,Medical,Yes
Self-Employed,Secondary,219770,816,166378,Divorced,School,No
Unemployed,Degree,98258,804,178151,Divorced,House,Yes
Unemployed,Degree,140842,419,159133,Divorced,School,Yes
Unemployed,Secondary,282197,622,47298,Single,Medical,Yes
Business Owner,Secondary,52560,487,122831,Single,Car,No
Unemployed,Secondary,302304,387,118943,Single,Business,No
Business Owner,Diploma,119666,382,103284,Married,Business,No
Unemployed,Degree,112969,580,68261,Single,Medical,Yes
Self-Employed,Masters,388452,537,91346,Divorced,Business,Yes
Employed,Secondary,356341,301,151502,Divorced,Car,No
